,0
0,692261.512970842
1,248469.13364944636
2,692209.7140934262
3,6758156.924271667
4,295537.4534421577
5,692082.5088596358
6,692166.1738068648
7,1537862.751483249
8,1790123.1541943504
9,692585.314228623
10,1540773.7331981321
11,692033.7156516004
12,1779112.0046363312
13,691922.0013551293
14,692668.6779440807
15,45825.11184819092
16,5421791.494035595
17,692363.8928311367
18,343282.70916788507
19,984117.9547765465
20,692590.3774987169
21,1848132.341737995
22,692609.9107831186
23,19782897.603240512
24,853609.040332848
25,1419373.1842754504
26,784630.706146299
27,435411.87088590214
28,856836.2689392602
29,681300.3791290899
30,206991.02179549914
31,2387598.8650294915
32,1654202.8891777394
33,958292.0699150518
34,19785047.12206327
35,169387.53262112362
36,782914.6562683136
37,1654364.020771529
38,275889.196770695
39,1617751.4768459704
40,1542161.6463515477
41,783344.2602150892
42,19770474.26304511
43,263700.8320127481
44,1657157.5708197674
45,368676.267424796
46,1580535.0505515072
47,252629.57999845286
48,1539042.7441993626
49,1539994.4961277575
50,1655636.3947669691
51,640593.1200267869
52,788333.1633669664
53,652092.3854418052
54,715203.2909744484
55,1605042.2820857936
56,853591.1747927713
57,692565.752908806
58,742271.914094114
59,744031.834237649
60,974983.4633454268
61,409054.1919524285
62,440053.7253972062
63,853807.8161449911
64,764861.9401954829
65,443247.74918034853
66,851559.0023324053
67,405996.4679011706
68,489471.76792405255
69,853749.2463253099
70,852861.664651162
71,1499919.3149800852
72,654780.4829180954
73,852949.7365414761
74,853750.9955614149
75,28701.545458068285
76,767627.932107176
77,170457.02906717034
78,521322.3084765655
79,542193.1543497356
80,682046.7662374965
81,475596.003223835
82,683693.9566418206
83,1264031.1776435124
84,853713.8389073976
85,853344.9895758457
86,853235.1318161815
87,761279.1106249237
88,725663.9585611363
89,159761.3896389166
90,852884.288067824
91,826565.9364387877
92,173532.80340933386
93,174911.37872262765
94,411549.2942678493
95,1671324.315748684
96,1626302.731572691
97,221919.19101254258
98,1095602.9478987022
99,1265837.9310939256
100,853845.1936182245
101,133769.46561378066
102,610901.0340051092
103,631876.2880202389
104,169120.38695925643
105,178435.78349542074
106,127850.59589771164
107,1549555.258340788
108,260605.0417626509
109,946399.4152275642
110,853676.570786595
111,6033498.401321323
112,771092.4043881351
113,567471.148940373
114,1051937.8802122986
115,97937.48709684878
116,1875069.0855202326
117,427035.2371117702
118,225170.99480760228
119,225178.5067276134
120,225238.92489824558
121,426996.8904508396
122,198950.56292339604
123,3682355.7823952935
124,46709.66735613509
