,0
0,1.0
1,0.12062155359873994
2,1.0
3,1.0
4,0.049220079383284564
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,2.6226314348947474e-09
16,0.1166792791733352
17,1.0
18,0.0816233074904803
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,0.1231407681897656
27,0.06876143467981119
28,1.0
29,1.0
30,0.12341448182275377
31,1.0
32,1.0
33,1.0
34,1.0
35,0.04564478713089758
36,1.0
37,1.0
38,0.04724471704210219
39,1.0
40,1.0
41,1.0
42,1.0
43,0.04950395652468126
44,1.0
45,0.09342625418632672
46,1.0
47,0.04125941846065201
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,5.117136459471956e-26
76,1.0
77,0.06938999566587006
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.0617768882084416
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,0.04895505698093685
109,0.04998011899557019
110,1.0
111,1.0
112,0.05842070490070779
113,0.10654461557955447
114,1.0
115,0.054064398889002385
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,0.056439059555996915
123,1.0
124,0.00029885776347259865
