Occupancy_Type,GoccName,SoccDescription,GoccDescription,SOccupID
RES1,RES,Single Family Dwelling,Residential,1
RES2,RES,Manufactured Home,Residential,2
RES3A,RES,Multi Family Dwelling A,Residential,3
RES3B,RES,Multi Family Dwelling B,Residential,4
RES3C,RES,Multi Family Dwelling C,Residential,5
RES3D,RES,Multi Family Dwelling D,Residential,6
RES3E,RES,Multi Family Dwelling E,Residential,7
RES3F,RES,Multi Family Dwelling F,Residential,8
RES4,RES,Temporary Lodging,Residential,9
RES5,RES,Institutional Dormitory,Residential,10
COM1,COM,Retail Trade,Commercial,12
RES6,RES,Nursing Home,Residential,11
COM2,COM,Wholesale Trade,Commercial,13
COM3,COM,Personal and Repair Service,Commercial,14
COM4,COM,Financial/Professional/Technical Services,Commercial,15
COM5,COM,Banks,Commercial,16
COM6,COM,Hospitals,Commercial,17
COM7,COM,Medical Offices/Clinic,Commercial,18
COM8,COM,Entertainment & Recreation,Commercial,19
COM9,COM,Theaters,Commercial,20
COM10,COM,Parking,Commercial,21
IND1,IND,Heavy,Industrial,22
IND2,IND,Light,Industrial,23
IND3,IND,Food/Drug/Chemical,Industrial,24
IND4,IND,Metals/Minerals Processing,Industrial,25
IND5,IND,High Technology,Industrial,26
IND6,IND,Construction,Industrial,27
AGR1,AGR,Agriculture,Agriculture,28
REL1,REL,Church,Religion/Non-Profit,29
GOV1,GOV,General Services,Government,30
GOV2,GOV,Emergency Response,Government,31
EDU1,EDU,Schools,Education,32
EDU2,EDU,Colleges/Universities,Education,33
